Year,Faculty,Rank,Total,Frauen_%,Auslaendische_%
2013,Medizinische Fakultät,Professuren,162.0,12.3,48.8
2013,Medizinische Fakultät,Titularprofessuren,288.0,12.5,15.6
2013,Medizinische Fakultät,Privatdozierende,411.0,18.2,37.5
2013,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,34.4,31.4,
2013,Vetsuisse Fakultät,Professuren,30.0,20.0,33.3
2013,Vetsuisse Fakultät,Titularprofessuren,19.0,5.3,42.1
2013,Vetsuisse Fakultät,Privatdozierende,33.0,42.4,48.5
2013,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,55.0,58.2,34.5
2013,Philosophische Fakultät,Professuren,151.0,33.1,60.3
2013,Philosophische Fakultät,Titularprofessuren,83.0,33.7,12.0
2013,Philosophische Fakultät,Privatdozierende,92.0,43.5,27.2
2013,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,714.0,53.4,43.8
2013,Mathematisch-naturwissenschaftliche Fakultät,Professuren,108.0,14.8,60.2
2013,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,39.0,10.3,12.8
2013,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,62.0,11.3,50.0
2013,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,326.0,32.5,54.3
2013,Zentrale Dienste der Universität,Professuren,0.0,0.0,0.0
2013,Zentrale Dienste der Universität,Titularprofessuren,0.0,0.0,0.0
2013,Zentrale Dienste der Universität,Privatdozierende,0.0,0.0,0.0
2013,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,40.0,70.0,25.0
2013,Gesamt Universität,Professuren,584.0,19.5,55.0
2013,Gesamt Universität,Titularprofessuren,479.0,15.9,15.4
2013,Gesamt Universität,Privatdozierende,653.0,23.0,37.1
2013,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,39.3,38.9,
2012,Theologische Fakultät,Professuren,12.0,16.7,50.0
2012,Theologische Fakultät,Titularprofessuren,7.0,,28.6
2012,Theologische Fakultät,Privatdozierende,6.0,66.7,50.0
2012,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,41.0,31.7,43.9
2012,Rechtswissenschaftliche Fakultät,Professuren,46.0,23.9,32.6
2012,Rechtswissenschaftliche Fakultät,Titularprofessuren,26.0,15.4,3.8
2012,Rechtswissenschaftliche Fakultät,Privatdozierende,19.0,26.3,5.3
2012,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,95.0,22.1,28.4
2012,Wirtschaftswissenschaftliche Fakultät,Professuren,68.0,8.8,70.6
2012,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2012,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,26.0,26.9,42.3
2012,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,174.0,25.3,51.1
2012,Medizinische Fakultät,Professuren,155.0,10.3,51.0
2012,Medizinische Fakultät,Titularprofessuren,270.0,11.1,14.4
2012,Medizinische Fakultät,Privatdozierende,395.0,18.5,34.9
2012,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,32.5,29.7,
2012,Vetsuisse Fakultät,Professuren,26.0,15.4,30.8
2012,Vetsuisse Fakultät,Titularprofessuren,19.0,5.3,42.1
2012,Vetsuisse Fakultät,Privatdozierende,33.0,39.4,51.5
2012,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,53.0,54.7,30.2
2012,Philosophische Fakultät,Professuren,144.0,31.9,61.8
2012,Philosophische Fakultät,Titularprofessuren,81.0,30.9,13.6
2012,Philosophische Fakultät,Privatdozierende,92.0,41.3,25.0
2012,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,802.0,52.2,45.5
2012,Mathematisch-naturwissenschaftliche Fakultät,Professuren,101.0,14.9,60.4
2012,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,34.0,11.8,8.8
2012,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,60.0,8.3,45.0
2012,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,308.0,30.8,54.9
2012,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,33.0,69.7,27.3
2012,Gesamt Universität,Professuren,552.0,18.1,55.4
2012,Gesamt Universität,Titularprofessuren,454.0,14.5,15.0
2012,Gesamt Universität,Privatdozierende,631.0,23.0,34.9
2012,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,38.6,39.3,
2011,Theologische Fakultät,Professuren,13.0,15.4,53.8
2011,Theologische Fakultät,Titularprofessuren,5.0,,20.0
2011,Theologische Fakultät,Privatdozierende,8.0,50.0,50.0
2011,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,28.0,32.1,39.3
2011,Rechtswissenschaftliche Fakultät,Professuren,43.0,23.3,32.6
2011,Rechtswissenschaftliche Fakultät,Titularprofessuren,25.0,12.0,4.0
2011,Rechtswissenschaftliche Fakultät,Privatdozierende,17.0,23.5,
2011,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,85.0,25.9,25.9
2011,Wirtschaftswissenschaftliche Fakultät,Professuren,66.0,9.1,69.7
2011,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2011,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,27.0,29.6,44.4
2011,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,177.0,22.6,50.8
2011,Medizinische Fakultät,Professuren,159.0,10.7,50.3
2011,Medizinische Fakultät,Titularprofessuren,256.0,11.7,14.1
2011,Medizinische Fakultät,Privatdozierende,369.0,17.9,36.0
2011,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,967.0,31.7,27.9
2011,Vetsuisse Fakultät,Professuren,26.0,11.5,26.9
2011,Vetsuisse Fakultät,Titularprofessuren,17.0,5.9,41.2
2011,Vetsuisse Fakultät,Privatdozierende,30.0,36.7,43.3
2011,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,50.0,52.0,34.0
2011,Philosophische Fakultät,Professuren,143.0,31.5,60.8
2011,Philosophische Fakultät,Titularprofessuren,76.0,30.3,15.8
2011,Philosophische Fakultät,Privatdozierende,107.0,37.4,27.1
2011,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,768.0,51.2,43.2
2011,Mathematisch-naturwissenschaftliche Fakultät,Professuren,98.0,13.3,59.2
2011,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,36.0,11.1,8.3
2011,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,55.0,9.1,47.3
2011,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,300.0,27.7,49.3
2011,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,34.0,70.6,26.5
2011,Gesamt Universität,Professuren,548.0,17.5,54.6
2011,Gesamt Universität,Titularprofessuren,432.0,14.6,14.8
2011,Gesamt Universität,Privatdozierende,613.0,22.5,35.4
2011,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,37.5,37.3,
2010,Theologische Fakultät,Professuren,13.0,15.4,53.8
2010,Theologische Fakultät,Titularprofessuren,5.0,,20.0
2010,Theologische Fakultät,Privatdozierende,8.0,37.5,50.0
2010,Theologische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,31.0,35.5,45.2
2010,Rechtswissenschaftliche Fakultät,Professuren,41.0,19.5,31.7
2010,Rechtswissenschaftliche Fakultät,Titularprofessuren,25.0,12.0,4.0
2010,Rechtswissenschaftliche Fakultät,Privatdozierende,15.0,20.0,
2010,Rechtswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,76.0,30.3,17.1
2010,Wirtschaftswissenschaftliche Fakultät,Professuren,63.0,9.5,68.3
2010,Wirtschaftswissenschaftliche Fakultät,Titularprofessuren,17.0,11.8,23.5
2010,Wirtschaftswissenschaftliche Fakultät,Privatdozierende,24.0,25.0,41.7
2010,Wirtschaftswissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,163.0,21.5,50.3
2010,Medizinische Fakultät,Professuren,153.0,9.2,48.4
2010,Medizinische Fakultät,Titularprofessuren,229.0,11.4,14.0
2010,Medizinische Fakultät,Privatdozierende,357.0,17.9,33.9
2010,Medizinische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,951.0,31.2,26.8
2010,Vetsuisse Fakultät,Professuren,28.0,10.7,21.4
2010,Vetsuisse Fakultät,Titularprofessuren,16.0,12.5,37.5
2010,Vetsuisse Fakultät,Privatdozierende,33.0,30.3,42.4
2010,Vetsuisse Fakultät,Lehrbeauftragte / Externe Lehrpersonen,53.0,50.9,37.7
2010,Philosophische Fakultät,Professuren,136.0,30.9,59.6
2010,Philosophische Fakultät,Titularprofessuren,68.0,32.4,16.2
2010,Philosophische Fakultät,Privatdozierende,102.0,31.4,25.5
2010,Philosophische Fakultät,Lehrbeauftragte / Externe Lehrpersonen,741.0,47.8,40.8
2010,Mathematisch-naturwissenschaftliche Fakultät,Professuren,97.0,13.4,58.8
2010,Mathematisch-naturwissenschaftliche Fakultät,Titularprofessuren,34.0,11.8,11.8
2010,Mathematisch-naturwissenschaftliche Fakultät,Privatdozierende,49.0,8.2,46.9
2010,Mathematisch-naturwissenschaftliche Fakultät,Lehrbeauftragte / Externe Lehrpersonen,296.0,23.6,44.6
2010,Zentrale Dienste der Universität,Professuren,,,
2010,Zentrale Dienste der Universität,Titularprofessuren,,,
2010,Zentrale Dienste der Universität,Privatdozierende,,,
2010,Zentrale Dienste der Universität,Lehrbeauftragte / Externe Lehrpersonen,35.0,100.0,31.4
2010,Gesamt Universität,Professuren,531.0,16.6,52.9
2010,Gesamt Universität,Titularprofessuren,394.0,15.0,15.0
2010,Gesamt Universität,Privatdozierende,588.0,20.7,33.7
2010,Gesamt Universität,Lehrbeauftragte / Externe Lehrpersonen,2346.0,36.3,35.3
2009,Gesamt Universität,Professuren,520.0,16.5,50.9
2009,Theologische Fakultät,Professuren,14.0,21.4,42.9
2009,Rechtswissenschaftliche Fakultät,Professuren,43.0,18.6,27.9
2009,Wirtschaftswissenschaftliche Fakultät,Professuren,58.0,10.3,67.2
2009,Medizinische Fakultät,Professuren,146.0,8.2,43.8
2009,Vetsuisse Fakultät,Professuren,28.0,10.7,25.0
2009,Philosophische Fakultät,Professuren,136.0,30.1,59.6
2009,Mathematisch-naturwissenschaftliche Fakultät,Professuren,95.0,13.7,58.9
