Faculty,Department,Rank,Year,Total,Foreign,Foreign %
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2018,18.1,13.1,72.4
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2019,17.1,13.1,76.6
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2020,16.1,12.1,75.2
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2021,16.1,11.1,68.9
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2022,15.1,11.1,73.5
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2023,15.7,10.1,64.3
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2024,15.7,10.1,64.3
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Full Prof,2025,14.7,9.1,61.9
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2006,2.0,,
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2007,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2008,1.0,1.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2009,1.0,1.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2010,2.0,2.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2011,2.0,2.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2012,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2013,4.0,3.0,75.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2014,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2015,2.0,2.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2016,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2017,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2018,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2019,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2020,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2021,3.0,3.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2022,4.0,4.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2023,6.0,6.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2024,6.0,6.0,100.0
Systemorientierte Naturwissenschaften,Erd- u Planetenwis,Assistant Prof,2025,7.0,7.0,100.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2006,32.0,18.0,56.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2007,30.0,17.0,56.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2008,31.6,18.0,57.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2009,31.3,18.0,57.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2010,31.3,19.0,60.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2011,31.3,20.0,63.9
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2012,32.6,20.0,61.3
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2013,36.0,24.0,66.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2014,34.1,22.1,64.8
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2015,33.0,22.0,66.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2016,33.8,21.0,62.1
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2017,32.0,19.0,59.4
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2018,33.0,18.0,54.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2019,32.0,17.0,53.1
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2020,32.0,18.0,56.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2021,32.0,17.0,53.1
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2022,33.0,17.0,51.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2023,32.0,15.0,46.9
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2024,33.0,17.0,51.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Full Prof,2025,33.0,16.0,48.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2006,2.8,1.0,35.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2007,5.8,1.0,17.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2008,4.8,2.0,41.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2009,4.0,0.2,5.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2010,3.2,0.2,6.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2011,6.0,3.0,50.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2012,7.0,3.0,42.9
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2013,4.2,2.2,52.4
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2014,5.2,3.2,61.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2015,5.0,3.0,60.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2016,4.0,3.0,75.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2017,10.0,6.0,60.0
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2018,9.0,6.0,66.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2019,13.0,9.0,69.2
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2020,18.0,12.0,66.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2021,19.2,15.0,78.1
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2022,15.4,13.2,85.7
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2023,14.2,12.0,84.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2024,15.2,13.0,85.5
Systemorientierte Naturwissenschaften,Umweltsystemwiss.,Assistant Prof,2025,11.2,10.0,89.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2006,11.3,7.0,61.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2007,11.3,7.0,61.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2008,10.0,7.0,70.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2009,12.0,9.0,75.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2010,13.0,10.0,76.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2011,14.0,11.0,78.6
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2012,15.5,12.0,77.4
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2013,16.0,13.0,81.2
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2014,17.0,13.0,76.5
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2015,18.0,14.0,77.8
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2016,19.0,15.0,78.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2017,23.0,17.0,73.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2018,21.7,15.7,72.4
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2019,21.8,14.8,67.9
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2020,22.8,15.8,69.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2021,22.8,15.8,69.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2022,24.2,15.8,65.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2023,21.4,14.8,69.2
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2024,24.9,17.1,68.7
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Full Prof,2025,26.1,18.1,69.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2006,0.0,0.0,
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2007,,,
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2008,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2009,3.0,2.0,66.7
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2010,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2011,2.0,1.0,50.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2012,3.0,1.0,33.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2013,3.0,1.0,33.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2014,3.0,1.0,33.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2015,3.0,1.0,33.3
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2016,5.0,2.0,40.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2017,6.0,4.0,66.7
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2018,10.0,7.0,70.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2019,10.0,7.0,70.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2020,10.0,8.0,80.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2021,10.0,8.0,80.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2022,10.0,8.0,80.0
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2023,9.0,7.0,77.8
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2024,7.0,5.0,71.4
Systemorientierte Naturwissenschaften,Ges.wiss.u.Technol,Assistant Prof,2025,7.0,5.0,71.4
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2006,0.0,0.0,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2007,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2008,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2009,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2010,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2011,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2012,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2013,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2014,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2015,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2016,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2017,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2018,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2019,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2020,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2021,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2022,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2023,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2024,,,
Systemorientierte Naturwissenschaften,Umweltsystemwiss. (2),Assistant Prof,2025,,,
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2006,11.2,6.4,57.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2007,11.3,6.5,57.5
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2008,12.3,8.5,69.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2009,13.3,9.0,67.7
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2010,15.3,10.0,65.4
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2011,16.8,12.0,71.4
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2012,15.8,11.0,69.6
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2013,18.8,13.0,69.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2014,17.8,12.0,67.4
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2015,17.5,12.0,68.6
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2016,19.1,14.0,73.3
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2017,18.4,14.0,76.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2018,18.4,14.0,76.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2019,18.4,12.0,65.2
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2020,19.3,12.0,62.2
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2021,19.3,12.0,62.2
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2022,18.3,11.0,60.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2023,20.3,12.0,59.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2024,18.3,11.0,60.1
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Full Prof,2025,18.4,10.0,54.3
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2006,1.0,1.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2007,1.0,1.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2008,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2009,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2010,1.0,1.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2011,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2012,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2013,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2014,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2015,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2016,4.0,3.0,75.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2017,5.0,4.0,80.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2018,4.0,3.0,75.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2019,4.0,3.0,75.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2020,3.0,2.0,66.7
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2021,2.0,1.0,50.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2022,3.0,2.0,66.7
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2023,1.0,1.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2024,1.0,1.0,100.0
Management- und Sozialwissenschaften,"Manag.,Tech.u.Ök.",Assistant Prof,2025,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2006,16.0,10.0,62.5
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2007,16.0,10.0,62.5
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2008,19.0,13.0,68.4
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2009,19.0,13.0,68.4
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2010,18.0,13.0,72.2
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2011,18.0,13.0,72.2
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2012,19.0,14.0,73.7
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2013,20.0,15.0,75.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2014,20.0,15.0,75.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2015,19.0,14.0,73.7
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2016,19.0,14.0,73.7
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2017,22.0,16.0,72.7
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2018,21.0,16.0,76.2
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2019,21.0,16.0,76.2
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2020,21.0,16.0,76.2
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2021,22.0,17.0,77.3
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2022,23.0,18.0,78.3
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2023,25.0,20.0,80.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2024,25.5,20.0,78.4
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Full Prof,2025,24.0,18.0,75.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2006,1.0,,
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2007,1.0,,
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2008,2.0,1.0,50.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2009,4.0,3.0,75.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2010,4.0,3.0,75.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2011,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2012,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2013,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2014,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2015,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2016,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2017,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2018,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2019,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2020,2.0,2.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2021,3.0,3.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2022,5.0,5.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2023,6.0,6.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2024,6.0,6.0,100.0
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Assistant Prof,2025,5.0,5.0,100.0
