Report_Jahr,Semester,Kategorie,Total,Frauen_%,Auslaendische_%
2023,HS 2022,Lehrpersonen,165.0,45.5,14.5
2023,HS 2022,Wirtschaftswissenschaftliche Fakultät,328.0,21.3,54.3
2023,HS 2022,Professuren,90.0,14.4,64.4
2023,HS 2022,Titularprofessuren,19.0,10.5,15.8
2023,HS 2022,Privatdozierende,32.0,28.1,46.9
2023,HS 2022,Lehrpersonen,187.0,24.7,54.8
2023,HS 2022,Medizinische Fakultät,2849.0,33.3,36.6
2023,HS 2022,Professuren,203.0,21.7,43.8
2023,HS 2022,Titularprofessuren,474.0,17.7,23.6
2023,HS 2022,Privatdozierende,695.0,25.8,40.7
2023,HS 2022,Lehrpersonen,1477.0,43.5,37.9
2022,HS 2022,Total,5623.0,37.3,39.9
2022,HS 2022,Professuren,734.0,28.7,48.8
2022,HS 2022,Titularprofessuren,734.0,20.3,21.0
2022,HS 2022,Privatdozierende,1043.0,29.2,42.0
2022,HS 2022,Lehrpersonen,3112.0,46.1,41.6
2022,HS 2022,Theologische Fakultät,85.0,35.3,48.2
2022,HS 2022,Professuren,15.0,26.7,53.3
2022,HS 2022,Titularprofessuren,10.0,10.0,30.0
2022,HS 2022,Privatdozierende,19.0,26.3,47.4
2022,HS 2022,Lehrpersonen,41.0,48.8,51.2
2022,HS 2022,Rechtswissenschaftliche Fakultät,295.0,38.0,14.6
2022,HS 2022,Professuren,55.0,29.1,21.8
2022,HS 2022,Titularprofessuren,46.0,19.6,4.3
2022,HS 2022,Privatdozierende,29.0,41.4,17.2
2022,HS 2022,Lehrpersonen,165.0,45.5,14.5
2022,HS 2022,Wirtschaftswissenschaftliche Fakultät,328.0,21.3,54.3
2022,HS 2022,Professuren,90.0,14.4,64.4
2022,HS 2022,Titularprofessuren,19.0,10.5,15.8
2022,HS 2022,Privatdozierende,32.0,28.1,46.9
2022,HS 2022,Lehrpersonen,187.0,24.7,54.8
2022,HS 2022,Medizinische Fakultät,2849.0,33.3,36.6
2022,HS 2022,Professuren,203.0,21.7,43.8
2022,HS 2022,Titularprofessuren,474.0,17.7,23.6
2022,HS 2022,Privatdozierende,695.0,25.8,40.7
2022,HS 2022,Lehrpersonen,1477.0,43.5,37.9
2022,HS 2022,Theologische Fakultät,15.0,,53.3
2022,HS 2022,Rechtswissenschaftliche Fakultät,55.0,,21.8
2022,HS 2022,Wirtschaftswissenschaftliche Fakultät,92.0,,62.0
2022,HS 2022,Medizinische Fakultät,206.0,,42.2
2022,HS 2022,Vetsuisse-Fakultät,36.0,,36.1
2022,HS 2022,Philosophische Fakultät,186.0,,51.3
2022,HS 2022,Mathematisch-naturwissenschaftliche Fakultät,128.0,,56.3
2022,HS 2021,Total,5367.0,36.8,40.3
2022,HS 2021,Professuren,735.0,27.6,53.1
2022,HS 2021,Titularprofessuren,692.0,20.1,20.2
2022,HS 2021,Privatdozierende,1019.0,28.0,42.1
2022,HS 2021,Lehrpersonen,2921.0,46.1,41.2
2022,HS 2021,Theologische Fakultät,83.0,32.5,42.2
2022,HS 2021,Professuren,15.0,20.0,53.3
2022,HS 2021,Titularprofessuren,10.0,10.0,30.0
2022,HS 2021,Privatdozierende,18.0,22.2,55.6
2022,HS 2021,Lehrpersonen,40.0,47.5,35.0
2022,HS 2021,Rechtswissenschaftliche Fakultät,213.0,31.0,18.8
2022,HS 2021,Professuren,53.0,28.3,37.7
2022,HS 2021,Titularprofessuren,44.0,20.5,4.5
2022,HS 2021,Privatdozierende,31.0,35.5,16.1
2022,HS 2021,Lehrpersonen,85.0,36.5,15.3
2022,HS 2021,Wirtschaftswissenschaftliche Fakultät,317.0,21.1,55.5
2022,HS 2021,Professuren,91.0,13.2,70.3
2022,HS 2021,Titularprofessuren,20.0,10.0,20.0
