Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
2002,5.2 Zahnmedizin,Professor/-innen,UZH,5
2002,5.2 Zahnmedizin,Übrige Dozierende,UZH,30
2002,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,100
2002,5.3 Veterinärmedizin,Professor/-innen,UZH,16
2002,5.3 Veterinärmedizin,Übrige Dozierende,UZH,37
2002,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,261
2002,5.4 Pharmazie,Professor/-innen,UZH,0
2002,5.4 Pharmazie,Übrige Dozierende,UZH,0
2002,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
2002,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
2002,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
2002,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
2002,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
2002,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
2002,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
2002,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
2002,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2002,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
2002,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,7 Interdisziplinäre und Andere,Professor/-innen,UZH,2
2002,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,8
2002,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,64
2002,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
2002,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,0
2002,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
2002,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
2002,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
2002,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
2002,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
2002,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
2002,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
2002,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
2002,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,5
2002,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
2002,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
2002,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,8.1 Zentrale Verwaltung,Professor/-innen,UZH,2
2002,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,5
2002,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,52
2002,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
2002,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
2002,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2002,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
2002,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
2002,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
2002,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
2002,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
2002,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,3
2003,1.1 Theologie,Professor/-innen,UZH,12
2003,1.1 Theologie,Übrige Dozierende,UZH,11
2003,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,39
2003,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,48
2003,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,120
2003,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,183
2003,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,37
2003,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,67
2003,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,168
2003,1.4 Sozialwissenschaften,Professor/-innen,UZH,37
2003,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,134
2003,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,272
2003,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2003,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,5
2003,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,11
2003,2 Wirtschaftswissenschaften,Professor/-innen,UZH,36
2003,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,75
2003,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,241
2003,3 Recht,Professor/-innen,UZH,34
2003,3 Recht,Übrige Dozierende,UZH,85
2003,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,188
2003,4.1 Exakte Wissenschaften,Professor/-innen,UZH,23
2003,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,28
2003,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,143
2003,4.2 Naturwissenschaften,Professor/-innen,UZH,52
2003,4.2 Naturwissenschaften,Übrige Dozierende,UZH,103
2003,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,610
2003,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2003,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,4
2003,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,5
2003,5.1 Humanmedizin,Professor/-innen,UZH,91
2003,5.1 Humanmedizin,Übrige Dozierende,UZH,601
2003,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,787
2003,5.2 Zahnmedizin,Professor/-innen,UZH,4
2003,5.2 Zahnmedizin,Übrige Dozierende,UZH,28
2003,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,105
2003,5.3 Veterinärmedizin,Professor/-innen,UZH,18
2003,5.3 Veterinärmedizin,Übrige Dozierende,UZH,42
2003,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,283
2003,5.4 Pharmazie,Professor/-innen,UZH,0
2003,5.4 Pharmazie,Übrige Dozierende,UZH,0
2003,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
2003,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
2003,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
2003,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
2003,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
2003,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
2003,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
2003,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
2003,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2003,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
2003,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,7 Interdisziplinäre und Andere,Professor/-innen,UZH,3
2003,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,10
2003,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,55
2003,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
2003,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,0
2003,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
2003,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
2003,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
2003,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
2003,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
2003,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
2003,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
2003,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
2003,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,4
2003,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
2003,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
2003,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,8.1 Zentrale Verwaltung,Professor/-innen,UZH,2
2003,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,4
2003,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,43
2003,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
2003,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
2003,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2003,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
2003,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
2003,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
2003,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
2003,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
2003,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,16
2004,1.1 Theologie,Professor/-innen,UZH,13
2004,1.1 Theologie,Übrige Dozierende,UZH,19
2004,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,44
2004,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,46
2004,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,122
2004,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,197
2004,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,35
2004,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,95
2004,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,184
2004,1.4 Sozialwissenschaften,Professor/-innen,UZH,39
2004,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,140
2004,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,325
2004,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,2
2004,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,11
2004,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,10
2004,2 Wirtschaftswissenschaften,Professor/-innen,UZH,39
2004,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,96
2004,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,280
2004,3 Recht,Professor/-innen,UZH,36
2004,3 Recht,Übrige Dozierende,UZH,79
2004,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,218
2004,4.1 Exakte Wissenschaften,Professor/-innen,UZH,26
2004,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,27
2004,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,169
2004,4.2 Naturwissenschaften,Professor/-innen,UZH,53
2004,4.2 Naturwissenschaften,Übrige Dozierende,UZH,104
2004,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,653
2004,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2004,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,2
2004,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,4
2004,5.1 Humanmedizin,Professor/-innen,UZH,91
2004,5.1 Humanmedizin,Übrige Dozierende,UZH,678
2004,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,795
2004,5.2 Zahnmedizin,Professor/-innen,UZH,4
2004,5.2 Zahnmedizin,Übrige Dozierende,UZH,29
2004,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,99
2004,5.3 Veterinärmedizin,Professor/-innen,UZH,22
2004,5.3 Veterinärmedizin,Übrige Dozierende,UZH,44
2004,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,310
2004,5.4 Pharmazie,Professor/-innen,UZH,0
2004,5.4 Pharmazie,Übrige Dozierende,UZH,0
2004,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
2004,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
2004,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
2004,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
2004,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
2004,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
2004,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
2004,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
2004,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2004,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
2004,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,7 Interdisziplinäre und Andere,Professor/-innen,UZH,3
2004,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,13
2004,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,27
2004,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
2004,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,0
2004,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
2004,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
2004,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
2004,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
2004,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
2004,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
2004,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
2004,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
2004,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,5
2004,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
2004,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
2004,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,8.1 Zentrale Verwaltung,Professor/-innen,UZH,2
2004,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,5
2004,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,44
2004,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
2004,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
2004,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2004,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
2004,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
2004,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
2004,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
2004,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
2004,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,18
2005,1.1 Theologie,Professor/-innen,UZH,15
2005,1.1 Theologie,Übrige Dozierende,UZH,17
2005,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,47
2005,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,46
2005,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,150
2005,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,209
2005,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,36
2005,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,106
2005,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,186
2005,1.4 Sozialwissenschaften,Professor/-innen,UZH,42
2005,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,165
2005,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,373
2005,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,1
2005,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,7
2005,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,9
2005,2 Wirtschaftswissenschaften,Professor/-innen,UZH,41
2005,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,90
2005,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,313
2005,3 Recht,Professor/-innen,UZH,37
2005,3 Recht,Übrige Dozierende,UZH,87
2005,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,235
2005,4.1 Exakte Wissenschaften,Professor/-innen,UZH,28
2005,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,42
2005,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,175
2005,4.2 Naturwissenschaften,Professor/-innen,UZH,56
2005,4.2 Naturwissenschaften,Übrige Dozierende,UZH,144
2005,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,640
2005,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2005,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,1
2005,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,2
2005,5.1 Humanmedizin,Professor/-innen,UZH,95
2005,5.1 Humanmedizin,Übrige Dozierende,UZH,823
2005,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,770
2005,5.2 Zahnmedizin,Professor/-innen,UZH,4
2005,5.2 Zahnmedizin,Übrige Dozierende,UZH,32
2005,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,104
2005,5.3 Veterinärmedizin,Professor/-innen,UZH,20
2005,5.3 Veterinärmedizin,Übrige Dozierende,UZH,46
2005,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,297
2005,5.4 Pharmazie,Professor/-innen,UZH,0
2005,5.4 Pharmazie,Übrige Dozierende,UZH,0
2005,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
2005,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
2005,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
2005,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
2005,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
2005,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
2005,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
2005,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
2005,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
2005,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
2005,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,7 Interdisziplinäre und Andere,Professor/-innen,UZH,3
2005,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,24
2005,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,32
2005,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
2005,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,0
2005,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
2005,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
2005,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
2005,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
2005,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
2005,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
2005,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
2005,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
2005,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,6
2005,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
2005,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
2005,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,8.1 Zentrale Verwaltung,Professor/-innen,UZH,2
2005,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,5
2005,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,46
2005,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
2005,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
2005,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
2005,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
2005,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
2005,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
2005,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
2005,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
2005,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,24
2006,1.1 Theologie,Professor/-innen,UZH,14
2006,1.1 Theologie,Übrige Dozierende,UZH,17
