Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
1980,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
1980,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
1980,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
1980,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
1980,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.1 Zentrale Verwaltung,Professor/-innen,UZH,0
1980,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,0
1980,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
1980,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
1980,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
1980,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
1980,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
1980,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,1.1 Theologie,Professor/-innen,UZH,12
1981,1.1 Theologie,Übrige Dozierende,UZH,27
1981,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,16
1981,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,39
1981,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,157
1981,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,46
1981,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,29
1981,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,92
1981,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,59
1981,1.4 Sozialwissenschaften,Professor/-innen,UZH,6
1981,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,82
1981,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,65
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,13
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,92
1981,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,12
1981,2 Wirtschaftswissenschaften,Professor/-innen,UZH,20
1981,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,76
1981,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,80
1981,3 Recht,Professor/-innen,UZH,24
1981,3 Recht,Übrige Dozierende,UZH,62
1981,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,70
1981,4.1 Exakte Wissenschaften,Professor/-innen,UZH,25
1981,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,46
1981,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,48
1981,4.2 Naturwissenschaften,Professor/-innen,UZH,47
1981,4.2 Naturwissenschaften,Übrige Dozierende,UZH,200
1981,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,170
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
1981,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,5.1 Humanmedizin,Professor/-innen,UZH,85
1981,5.1 Humanmedizin,Übrige Dozierende,UZH,429
1981,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,105
1981,5.2 Zahnmedizin,Professor/-innen,UZH,8
1981,5.2 Zahnmedizin,Übrige Dozierende,UZH,55
1981,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,63
1981,5.3 Veterinärmedizin,Professor/-innen,UZH,12
1981,5.3 Veterinärmedizin,Übrige Dozierende,UZH,64
1981,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,63
1981,5.4 Pharmazie,Professor/-innen,UZH,0
1981,5.4 Pharmazie,Übrige Dozierende,UZH,0
1981,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
1981,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
1981,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
1981,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
1981,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
1981,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
1981,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,7 Interdisziplinäre und Andere,Professor/-innen,UZH,0
1981,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,0
1981,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.5 Zentrale Verwaltung (bis 2001),Professor/-innen,UZH,0
1981,8.5 Zentrale Verwaltung (bis 2001),Übrige Dozierende,UZH,1
1981,8.5 Zentrale Verwaltung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Professor/-innen,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Übrige Dozierende,UZH,0
1981,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Professor/-innen,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Übrige Dozierende,UZH,0
1981,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Professor/-innen,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Übrige Dozierende,UZH,0
1981,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,99.99 Fach nicht zuteilbar,Professor/-innen,UZH,0
1981,99.99 Fach nicht zuteilbar,Übrige Dozierende,UZH,0
1981,99.99 Fach nicht zuteilbar,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Professor/-innen,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Übrige Dozierende,UZH,0
1981,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.1 Zentrale Verwaltung,Professor/-innen,UZH,0
1981,8.1 Zentrale Verwaltung,Übrige Dozierende,UZH,0
1981,8.1 Zentrale Verwaltung,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.2 Zentrale Bibliotheken,Professor/-innen,UZH,0
1981,8.2 Zentrale Bibliotheken,Übrige Dozierende,UZH,0
1981,8.2 Zentrale Bibliotheken,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.3 Technische Dienste und Logistik,Professor/-innen,UZH,0
1981,8.3 Technische Dienste und Logistik,Übrige Dozierende,UZH,0
1981,8.3 Technische Dienste und Logistik,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Professor/-innen,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Übrige Dozierende,UZH,0
1981,8.4 Dienstleistungen für Mitarbeitende und Studierende,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,1.1 Theologie,Professor/-innen,UZH,12
1982,1.1 Theologie,Übrige Dozierende,UZH,24
1982,1.1 Theologie,Assistierende und wissenschaftliche Mitarbeitende,UZH,19
1982,1.2 Sprach- und Literaturwissenschaften,Professor/-innen,UZH,40
1982,1.2 Sprach- und Literaturwissenschaften,Übrige Dozierende,UZH,147
1982,1.2 Sprach- und Literaturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,74
1982,1.3 Historische und Kulturwissenschaften,Professor/-innen,UZH,28
1982,1.3 Historische und Kulturwissenschaften,Übrige Dozierende,UZH,76
1982,1.3 Historische und Kulturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,68
1982,1.4 Sozialwissenschaften,Professor/-innen,UZH,18
1982,1.4 Sozialwissenschaften,Übrige Dozierende,UZH,169
1982,1.4 Sozialwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,74
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
1982,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,12
1982,2 Wirtschaftswissenschaften,Professor/-innen,UZH,20
1982,2 Wirtschaftswissenschaften,Übrige Dozierende,UZH,69
1982,2 Wirtschaftswissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,96
1982,3 Recht,Professor/-innen,UZH,23
1982,3 Recht,Übrige Dozierende,UZH,63
1982,3 Recht,Assistierende und wissenschaftliche Mitarbeitende,UZH,73
1982,4.1 Exakte Wissenschaften,Professor/-innen,UZH,24
1982,4.1 Exakte Wissenschaften,Übrige Dozierende,UZH,38
1982,4.1 Exakte Wissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,61
1982,4.2 Naturwissenschaften,Professor/-innen,UZH,50
1982,4.2 Naturwissenschaften,Übrige Dozierende,UZH,148
1982,4.2 Naturwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,242
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Übrige Dozierende,UZH,1
1982,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,5.1 Humanmedizin,Professor/-innen,UZH,84
1982,5.1 Humanmedizin,Übrige Dozierende,UZH,370
1982,5.1 Humanmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,196
1982,5.2 Zahnmedizin,Professor/-innen,UZH,8
1982,5.2 Zahnmedizin,Übrige Dozierende,UZH,34
1982,5.2 Zahnmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,91
1982,5.3 Veterinärmedizin,Professor/-innen,UZH,13
1982,5.3 Veterinärmedizin,Übrige Dozierende,UZH,33
1982,5.3 Veterinärmedizin,Assistierende und wissenschaftliche Mitarbeitende,UZH,103
1982,5.4 Pharmazie,Professor/-innen,UZH,4
1982,5.4 Pharmazie,Übrige Dozierende,UZH,1
1982,5.4 Pharmazie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Professor/-innen,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Übrige Dozierende,UZH,0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,1
1982,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
1982,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
1982,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
1982,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
