Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Ingenieurwissenschaften,Informatik,Techn. & adm. Mitarbeitende,8.8,11.6,12.7,14.5,15.5,15.4,11.3,15.7,18.9,19.3,21.2,27.2,29.5,29.9,27.9,21.7,25,35.9,34,38.1
Ingenieurwissenschaften,Materialwiss.,Gesamtwert,97.4,108.6,103.5,106.2,104.8,112.1,122.2,140.5,145.6,163.7,152.1,154.2,156.6,166.3,146.9,153,152.2,139.7,137.8,141.2
Ingenieurwissenschaften,Materialwiss.,Vollprofessor/innen,6,7,7,6,8,9,8,10,12,11,11,10,9,10,9,9,10,9,9,9
Ingenieurwissenschaften,Materialwiss.,Assistenzprofessor/innen,2,1,1,2,1,2,3,4,3,3,2,1.3,1.3,1.3,1,1,2,3,3,2
Ingenieurwissenschaften,Materialwiss.,Wissenschaftliche Mitarbeiten..,85.6,96.2,89.3,90.9,89.8,95.1,106.2,121.1,123.9,142.1,132.9,137.7,142,150.6,132.7,137.6,135.1,122.6,118.7,123.6
Ingenieurwissenschaften,Materialwiss.,Techn. & adm. Mitarbeitende,3.8,4.4,6.2,7.3,6,6,5,5.4,6.7,7.6,6.2,5.3,4.3,4.5,4.2,5.5,5.2,5.2,7.1,6.6
Ingenieurwissenschaften,Biosysteme,Gesamtwert,39.5,48.3,58.9,74.6,103.6,130,158.4,183.3,193.1,239.4,245.1,257.7,264.7,264,274.5,277.1,268.6,263.9,290.2,281
Ingenieurwissenschaften,Biosysteme,Vollprofessor/innen,2,3,3,3,5,6,6,8,11,12,12,13,14,15,15,14,14,9.2,9.8,8.8
Ingenieurwissenschaften,Biosysteme,Assistenzprofessor/innen,2,2,3,3,4,6,7,6,5,4,4,3,1,1,1,0,,,,1
Ingenieurwissenschaften,Biosysteme,Wissenschaftliche Mitarbeiten..,31.6,39.3,47.1,58.8,84.8,104.1,130.9,154.5,158.6,202.4,209.6,217.3,218.1,215.3,225.1,232.1,222.2,220.7,240.6,230.3
Ingenieurwissenschaften,Biosysteme,Techn. & adm. Mitarbeitende,3.9,4,5.8,9.8,9.8,12.9,13.5,13.8,18.5,21.1,19.5,24.4,31.7,32.7,33.4,31,32.4,34.1,39.8,40.9
Ingenieurwissenschaften,Biosysteme,Lernende,,,,,,1,1,1,0,,,0,,,,,,,,
Naturwissenschaften und Mathematik,Gesamtwert,,924.1,925.7,983.8,1057.1,1111.4,1204.1,1210.9,1270.2,1278.5,1476.4,1416.7,1425,1489.8,1478.5,1480.6,1556.1,1535.5,1536.6,1552.6,1594.4
Naturwissenschaften und Mathematik,Mathematik,Gesamtwert,87.8,89.3,92.6,123,130.8,133,138.4,145.9,149.4,148.5,159.4,161.5,196.7,168.3,181.5,195.2,190.2,195.2,198.7,212.1
Naturwissenschaften und Mathematik,Mathematik,Vollprofessor/innen,14.8,14.8,14.8,18.8,20,20.5,21.5,23,23.5,24.3,25.3,24.5,21.5,20.7,21.7,21.9,22.7,23.5,22.5,22.5
Naturwissenschaften und Mathematik,Mathematik,Assistenzprofessor/innen,1,4,3,4,5,6,8,6,6,10,8,8,7.2,6,5,4,2,2,2,1
Naturwissenschaften und Mathematik,Mathematik,Wissenschaftliche Mitarbeiten..,64,63.8,68.4,100.6,101.5,105.1,111.1,115,111,121.7,123.6,124.5,164.2,139.4,152.7,166.1,161.8,164.5,187.7,182.3
Naturwissenschaften und Mathematik,Mathematik,Techn. & adm. Mitarbeitende,8.1,5.8,6.5,7.5,6.5,6.8,5.3,5.4,5,3.5,4.5,4.5,3.8,2.2,2.1,3.3,3.8,5.2,6.5,6.4
Naturwissenschaften und Mathematik,Mathematik,Lernende,,,1,0,,,,,,,,,,,,,,,,
Naturwissenschaften und Mathematik,Physik,Gesamtwert,183.4,200.6,218,241.1,260.9,291.9,312.5,332.4,325.2,375.5,353.3,362,362.6,389,396.4,427.1,410.5,427.1,437.7,478.7
Naturwissenschaften und Mathematik,Physik,Vollprofessor/innen,10,11,11,13.2,16.2,18.2,18.2,18.8,17.8,15.3,13,14,13.5,14.2,14.2,15.2,13.2,13.2,12.2,13.2
Naturwissenschaften und Mathematik,Physik,Assistenzprofessor/innen,2,3,3.8,4,4.3,5.3,5.3,3.8,2,2,4,1,2,4,4.5,7,8.2,10,11,10
Naturwissenschaften und Mathematik,Physik,Wissenschaftliche Mitarbeiten..,146.8,162.5,177.9,197.7,214,242.6,258.3,276.2,270.4,319.6,297.4,310.6,315.8,336.7,339.6,360.7,352.2,363,369.7,405.5
