Year,Field,Nationality,University,Foreign_Count,Total,Foreign_Share_%
1982,5.4 Pharmazie,Ausland,UZH,0,5,0.0
1982,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1,5,20.0
1982,6.1 Bauwesen und Geodäsie,Ausland,UZH,0,0,
1982,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0,0,
1982,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0,0,
1982,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1982,7 Interdisziplinäre und Andere,Ausland,UZH,0,0,
1982,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,13,202,6.4
1982,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,UZH,0,0,
1982,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,UZH,0,0,
1982,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,UZH,0,0,
1982,99.99 Fach nicht zuteilbar,Ausland,UZH,0,0,
1982,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,UZH,0,0,
1982,8.1 Zentrale Verwaltung,Ausland,UZH,0,0,
1982,8.2 Zentrale Bibliotheken,Ausland,UZH,0,0,
1982,8.3 Technische Dienste und Logistik,Ausland,UZH,0,0,
1982,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,UZH,0,0,
1983,1.1 Theologie,Ausland,UZH,22,62,35.5
1983,1.2 Sprach- und Literaturwissenschaften,Ausland,UZH,62,297,20.9
1983,1.3 Historische und Kulturwissenschaften,Ausland,UZH,33,213,15.5
1983,1.4 Sozialwissenschaften,Ausland,UZH,49,278,17.6
1983,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,UZH,9,15,60.0
1983,2 Wirtschaftswissenschaften,Ausland,UZH,46,252,18.3
1983,3 Recht,Ausland,UZH,13,185,7.0
1983,4.1 Exakte Wissenschaften,Ausland,UZH,38,150,25.3
1983,4.2 Naturwissenschaften,Ausland,UZH,94,645,14.6
1983,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,UZH,0,1,0.0
1983,5.1 Humanmedizin,Ausland,UZH,171,960,17.8
1983,5.2 Zahnmedizin,Ausland,UZH,50,302,16.6
1983,5.3 Veterinärmedizin,Ausland,UZH,39,360,10.8
1983,5.4 Pharmazie,Ausland,UZH,0,6,0.0
1983,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,UZH,1,5,20.0
1983,6.1 Bauwesen und Geodäsie,Ausland,UZH,0,0,
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,UZH,0,0,
1983,6.3 Agrar- und Forstwissenschaften,Ausland,UZH,0,0,
1983,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,UZH,0,0,
1983,7 Interdisziplinäre und Andere,Ausland,UZH,0,0,
1983,8.5 Zentrale Verwaltung (bis 2001),Ausland,UZH,17,228,7.5
