Year,Field,Nationality,University,Foreign_Count,Total,Foreign_Share_%
2016,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,ETHZ,52,108,48.1
2016,2 Wirtschaftswissenschaften,Ausland,ETHZ,62,122,50.8
2016,3 Recht,Ausland,ETHZ,5,18,27.8
2016,4.1 Exakte Wissenschaften,Ausland,ETHZ,858,1426,60.2
2016,4.2 Naturwissenschaften,Ausland,ETHZ,1114,1833,60.8
2016,4.3 Exakte und Naturwissenschaften übergreifend/übrige,Ausland,ETHZ,472,893,52.9
2016,5.1 Humanmedizin,Ausland,ETHZ,0,0,
2016,5.2 Zahnmedizin,Ausland,ETHZ,0,0,
2016,5.3 Veterinärmedizin,Ausland,ETHZ,0,0,
2016,5.4 Pharmazie,Ausland,ETHZ,88,166,53.0
2016,5.5 Medizin und Pharmazie übergreifend/übrige,Ausland,ETHZ,0,0,
2016,6.1 Bauwesen und Geodäsie,Ausland,ETHZ,735,1557,47.2
2016,6.2 Maschinen- und Elektroingenieurwissenschaften,Ausland,ETHZ,1474,2515,58.6
2016,6.3 Agrar- und Forstwissenschaften,Ausland,ETHZ,261,553,47.2
2016,6.4 Technische Wissenschaften übergreifend/übrige,Ausland,ETHZ,434,682,63.6
2016,7 Interdisziplinäre und Andere,Ausland,ETHZ,18,50,36.0
2016,8.5 Zentrale Verwaltung (bis 2001),Ausland,ETHZ,0,0,
2016,8.6 Zentrale Logistik für Lehre und Forschung (bis 2001),Ausland,ETHZ,0,0,
2016,8.7 Dienstleistungen für die Hochschulangehör. (bis 2001),Ausland,ETHZ,0,0,
2016,8.8 Dienstleistungen für die Öffentlichkeit (bis 2001),Ausland,ETHZ,0,0,
2016,99.99 Fach nicht zuteilbar,Ausland,ETHZ,8,15,53.3
2016,8.9 Übrige nicht zuteilbare Aufwände (bis 2001),Ausland,ETHZ,0,0,
2016,8.1 Zentrale Verwaltung,Ausland,ETHZ,132,698,18.9
2016,8.2 Zentrale Bibliotheken,Ausland,ETHZ,55,338,16.3
2016,8.3 Technische Dienste und Logistik,Ausland,ETHZ,82,405,20.2
2016,8.4 Dienstleistungen für Mitarbeitende und Studierende,Ausland,ETHZ,14,87,16.1
2017,1.1 Theologie,Ausland,ETHZ,0,0,
2017,1.2 Sprach- und Literaturwissenschaften,Ausland,ETHZ,6,14,42.9
2017,1.3 Historische und Kulturwissenschaften,Ausland,ETHZ,19,66,28.8
2017,1.4 Sozialwissenschaften,Ausland,ETHZ,121,194,62.4
2017,1.5 Geistes- und Sozialwissenschaften übergreifend/übrige,Ausland,ETHZ,68,120,56.7
2017,2 Wirtschaftswissenschaften,Ausland,ETHZ,66,128,51.6
2017,3 Recht,Ausland,ETHZ,6,22,27.3
2017,4.1 Exakte Wissenschaften,Ausland,ETHZ,896,1489,60.2
2017,4.2 Naturwissenschaften,Ausland,ETHZ,1140,1874,60.8
