Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Ingenieurwissenschaften,Informatik,Wissenschaftliche Mitarbeiten..,243,252.8,269.4,274.7,278.5,271,262.4,279.2,281.8,289.6,289.9,308.7,365.1,371.4,466.5,504.7,544.1,590.1,589.9,587.5
Ingenieurwissenschaften,Informatik,Techn. & adm. Mitarbeitende,35.9,40.8,39.1,45.5,46,42.2,38.4,44.1,48.2,48.7,54.7,63.1,75.4,78.6,78.3,75.7,78.1,93.3,89.8,97.2
Ingenieurwissenschaften,Informatik,Lernende,,1,1,1,1,1,1,1,2,2,2,2,2,1,0,,,,,
Ingenieurwissenschaften,Materialwiss.,Gesamtwert,179.6,188.4,185.3,187.9,181.4,179.4,187.7,204.9,211.9,236.8,223.1,232.8,235.6,250,227.3,230.4,228.4,214.5,207.1,205.1
Ingenieurwissenschaften,Materialwiss.,Vollprofessor/innen,7,8,7,7,9,10,10,12,14,14,13,13,12,13,12,12,12.6,10.8,10.8,11.8
Ingenieurwissenschaften,Materialwiss.,Assistenzprofessor/innen,2,2,2,3,2,3,3,4,3,3,2,1.3,1.3,1.3,1,1,2,3,3,2
Ingenieurwissenschaften,Materialwiss.,Wissenschaftliche Mitarbeiten..,135.4,144.1,140,139.2,132.3,131.8,141.6,157.6,163.6,188.4,178,185.2,189.3,203.1,179.5,182.8,182,166.2,159.1,159.5
Ingenieurwissenschaften,Materialwiss.,Techn. & adm. Mitarbeitende,34.2,32.3,33.3,34.7,33.1,31.6,32.2,31.3,31.3,31.5,30.1,33.4,32.1,32.6,34.8,34.6,31.9,34.5,34.2,31.8
Ingenieurwissenschaften,Materialwiss.,Lernende,1,2,3,4,5,3,1,0,,,,,1,0,,,,,,
Ingenieurwissenschaften,Biosysteme,Gesamtwert,59.7,78.8,84.3,112.1,143.5,166.1,203.3,234.2,247.5,307.5,311.5,324.8,332.3,321.5,327.2,343.2,335.3,330.2,359.5,356.5
Ingenieurwissenschaften,Biosysteme,Vollprofessor/innen,4,5,5,5,7,8,8,10,13,14,14,15,16,17,16,17,17,15.2,15.8,15.8
Ingenieurwissenschaften,Biosysteme,Assistenzprofessor/innen,2,2,3,3,4,6,7,6,5,4,4,3,1,1,2,1,1,1,3,4
Ingenieurwissenschaften,Biosysteme,Wissenschaftliche Mitarbeiten..,43.5,56.3,58.3,78.3,106.8,123.3,154.5,180.2,184.4,241.3,246.5,254,258.5,249.1,252.9,268.8,257.9,252.3,272.5,268.4
Ingenieurwissenschaften,Biosysteme,Techn. & adm. Mitarbeitende,10.2,15.5,16,23.8,22.7,26.9,32.9,35.1,43.1,45.2,45,51.8,55.9,54.4,56.3,56.4,59.4,61.7,68.2,68.3
Ingenieurwissenschaften,Biosysteme,Lernende,,,2,2,3,2,1,3,2,3,2,1,1,0,,,,,,
Naturwissenschaften und Mathematik,Gesamtwert,,1812.8,1767.1,1817.2,1887,1927.9,2011,2006.9,2043.2,2050.7,2333.5,2273.2,2277.6,2362.6,2321.4,2344.3,2437.8,2418.7,2447.2,2442.1,2477
Naturwissenschaften und Mathematik,Mathematik,Gesamtwert,234.3,197.6,203.1,236.5,235.9,229.8,230.8,237,237.2,258.3,246.4,246.9,315.3,259.7,278.7,320.7,317.7,314,314.8,326.4
Naturwissenschaften und Mathematik,Mathematik,Vollprofessor/innen,25.5,23.8,23.8,27.8,30,28.5,28.5,31,30.5,31.3,33.3,32.5,29.5,28.7,31.7,30.9,32.7,33.5,35.1,33.5
Naturwissenschaften und Mathematik,Mathematik,Assistenzprofessor/innen,2,5,4,5,6,6,8,6,6,10.5,11,11,9.4,9,7,5,3,3,2,1
Naturwissenschaften und Mathematik,Mathematik,Wissenschaftliche Mitarbeiten..,176.8,138.8,144.3,171.2,167,165,165.3,170.6,167.4,186,175,171.6,247.9,193,209.4,253.6,249.5,244.3,244,255.3
Naturwissenschaften und Mathematik,Mathematik,Techn. & adm. Mitarbeitende,28.1,27.1,27,29.6,28.8,28.3,27,27.4,28.8,27.5,27.2,31.8,28.5,29,30.6,31.2,32.5,33.1,33.7,36.5
Naturwissenschaften und Mathematik,Mathematik,Lernende,2,3,4,3,4,2,2,2,,,,,,,,,,,,
Naturwissenschaften und Mathematik,Physik,Gesamtwert,428.4,441.1,455.9,484.6,501.7,546.9,559.9,575.3,569.4,633.3,611.9,632.9,630.7,655.4,670.1,715.3,695.9,727.1,734.8,756.1
Naturwissenschaften und Mathematik,Physik,Vollprofessor/innen,20,20,20,23.2,26.2,27.2,28.2,28.8,28.6,28.3,26,29,28.5,29.2,28.2,30,28,28,27,29
Naturwissenschaften und Mathematik,Physik,Assistenzprofessor/innen,4,6,6.8,6,6.3,8.3,8.3,6.8,5,6,8,5,4,6,6.5,7,8.2,10.8,11.9,11
Naturwissenschaften und Mathematik,Physik,Wissenschaftliche Mitarbeiten..,254.7,268.1,276.7,299.1,314.4,344.5,354.6,371.6,366.8,426.6,407.7,418.5,420.8,438.2,444.5,476.8,465.6,486.4,490.2,516.6
Naturwissenschaften und Mathematik,Physik,Techn. & adm. Mitarbeitende,114.7,114.1,114.4,119.3,117.8,120,120.8,118.1,115.9,122.4,122.2,125.4,118.4,121,127.8,139.5,131.2,136,138.6,134.6
Naturwissenschaften und Mathematik,Physik,Lernende,35,33,38,37,37,47,48,50,53,50,48,55,59,61,63,62,63,66,67,65
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Gesamtwert,625.3,596.9,627.6,623.6,643.8,669.1,669.4,686.8,678,798.2,792.1,795.6,807.8,800.7,797.5,804.2,803.4,782.8,786.7,793.8
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Vollprofessor/innen,30,30,30,30,33,35,33,35,33.8,32.8,32.8,33,32,32.5,32.5,31.5,31.5,34,35,34
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Assistenzprofessor/innen,5,4,6,5,5,7,6,4,3,5,7,6,7,6,6,8,7,6,7,7
Naturwissenschaften und Mathematik,Chemie u. Ang.Bio.,Wissenschaftliche Mitarbeiten..,422.5,394.3,431.2,427,442.5,465.9,463.2,486.4,483.2,601.2,596.2,597.8,616.3,605.2,604.3,609.8,610.4,590,593.9,603
